indice,columna,nombre_notebook,dtype,n_unicos,min,max,frecuencia_real,fuente_estimada,derivada,usada_por_notebook
73,NRO MICROCREDITO> 4 SMMLV HASTA 10 SMMLV,,int64,421,26,29410,trimestral,SFC / Banca de las Oportunidades (productos),False,False
74,MONTO MICROCREDITO> 4SMMLV HASTA 10SMML,,float64,462,141236324.0,168655782930.36,trimestral,SFC / Banca de las Oportunidades (productos),False,False
75,NRO MICROCREDITO> 10SMMLV HASTA 25SMMLV,,int64,402,8,18014,trimestral,SFC / Banca de las Oportunidades (productos),False,False
76,MONTO MICROCREDI> 10SMMLV HASTA 25SMMLV,,float64,462,123600000.0,243782269901.04,trimestral,sin clasificar,False,False
77,NRO MICROCREDITO MUJERES,nro_micro_mujeres,int64,447,28,57962,trimestral,SFC / Banca de las Oportunidades (productos),False,False
78,MONTO MICROCREDITO MUJERES,monto_micro_mujeres,float64,462,216200000.0,324551228925.26,trimestral,SFC / Banca de las Oportunidades (productos),False,False
79,NRO MICROCREDITO HOMBRES,nro_micro_hombres,int64,433,26,36912,trimestral,SFC / Banca de las Oportunidades (productos),False,False
80,MONTO MICROCREDITO HOMBRES,monto_micro_hombres,float64,462,159010750.0,284695975742.02,trimestral,SFC / Banca de las Oportunidades (productos),False,False
81,NRO TOTAL MICROCREDITO,nro_total_micro,int64,456,58,94590,trimestral,SFC / Banca de las Oportunidades (transaccional y corresponsales),True,False
82,MONTO TOTAL MICROCREDITO,monto_total_micro,float64,462,395834992.0,644384814785.6,trimestral,SFC / Banca de las Oportunidades (transaccional y corresponsales),True,True
83,NRO PROD DEPOSITO NIVEL NACIONAL,,int64,1,0,0,muerta (1 valor),SFC / Banca de las Oportunidades (transaccional y corresponsales),False,False
84,MONTO PROD DEPOSITO NIVEL NACIONAL,,int64,1,0,0,muerta (1 valor),SFC / Banca de las Oportunidades (transaccional y corresponsales),False,False
85,Llave,,str,165,,,anual repetida,derivada / catálogo,True,False
86,Poblacion,poblacion,float64,165,39811.0,7823334.0,anual repetida,DANE proyecciones de población,False,True
87,Capital,capital,str,32,,,anual repetida,derivada / catálogo,False,False
88,Total General Hogar Internet,hogares_internet_total,int64,106,0,2865,anual repetida,MinTIC (internet),True,False
89,Conexión a internet %,internet_pct,float64,127,0.0,81.5248913,anual repetida,MinTIC (internet),False,True
90,Fijo %,internet_fijo_pct,float64,124,0.0,94.3,anual repetida,MinTIC (internet),True,False
91,Movil %,internet_movil_pct,float64,125,21.6226371,100.0,anual repetida,MinTIC (internet),True,False
92,Fijo Movil %,internet_fijo_movil_pct,float64,122,0.0,47.7019796,anual repetida,MinTIC (internet),True,False
93,Años promedio de educación,educacion_anios,float64,163,4.84513926,10.6091607,anual repetida,DANE GEIH (educación),False,True
94,IPC %,IPC_pct,float64,105,0.22,6.54,anual repetida,DANE IPC por ciudad,True,True
95,Empleo Formal,Empleo_Formal,float64,165,1025.304,2488404.433333333,anual repetida,DANE GEIH (empleo),False,True
96,Empleo Informal,Empleo_Informal,float64,165,4491.552000000001,1743007.166666666,anual repetida,DANE GEIH (empleo),False,True
97,Superficie Km2,Superficie_km2,int64,33,52,109665,estática (33 valores),IGAC / DANE,False,False
98,Densidad Poblacional,Densidad_Poblacional,float64,165,0.640244746532296,4405.030405405405,anual repetida,DANE proyecciones de población,True,True
99,PIB Contribucion Al Total,pib_contribucion_pct,float64,165,-1.724514703585951,2.885431970358399,anual repetida,DANE cuentas departamentales,True,False
100,PIB Percapita,pib_percapita,float64,165,5677781.246329342,38767030.87797157,anual repetida,DANE cuentas departamentales,False,True
101,PIB Crecimiento,pib_crecimiento,float64,165,-23.56920140067959,28.07547481399314,anual repetida,DANE cuentas departamentales,False,True
