fuente,columna,nombre_original
kx2f,_20_saldo_ctas_ahorro_hasta,(20) SALDO_CTAS_AHORRO_HASTA_1SMMLV
kx2f,_21_nro_ctas_ahorro_1smmlv,(21) NRO_CTAS_AHORRO>1SMMLV_HASTA _3SMMLV
kx2f,_22_saldo_ctas_ahorro_1smmlv,(22) SALDO_CTAS_AHORRO>1SMMLV_HASTA _3SMMLV
kx2f,_23_nro_ctas_ahorr_3smmlv,(23) NRO_CTAS_AHORR>3SMMLV_HASTA_ 5SMMLV
kx2f,_24_saldo_ctas_ahorr_3smmlv,(24) SALDO_CTAS_AHORR>3SMMLV_HASTA_ 5SMMLV
kx2f,_25_nro_ctas_ahorro_activas,(25) NRO_CTAS_AHORRO_ACTIVAS
kx2f,_26_saldo_ctas_ahorro_activas,(26) SALDO_CTAS_AHORRO_ACTIVAS
kx2f,_27_nro_ctas_ahorro_mujeres,(27) NRO_CTAS_AHORRO_MUJERES
kx2f,_28_saldo_ctas_ahorro_mujeres,(28) SALDO_CTAS_AHORRO_MUJERES
kx2f,_29_nro_ctas_ahorro_hombres,(29) NRO_CTAS_AHORRO_HOMBRES
kx2f,_30_saldo_ctas_ahorro_hombres,(30) SALDO_CTAS_AHORRO_HOMBRES
kx2f,_31_nro_ctas_ahorro,(31) NRO_CTAS_AHORRO
kx2f,_32_saldo_ctas_ahorro,(32) SALDO_CTAS_AHORRO
kx2f,_41_nro_cr_dito_consumo,(41) NRO_CRÉDITO_CONSUMO_MUJERES
kx2f,_42_monto_cr_dito_consumo,(42) MONTO_CRÉDITO_CONSUMO_MUJERES
kx2f,_43_nro_cr_dito_consumo,(43) NRO_CRÉDITO_CONSUMO_HOMBRES
kx2f,_44_monto_cr_dito_consumo,(44) MONTO_CRÉDITO_CONSUMO_HOMBRES
kx2f,_45_nro_cr_dito_consumo,(45) NRO_CRÉDITO_CONSUMO
kx2f,_46_monto_cr_dito_consumo,(46) MONTO_CRÉDITO_CONSUMO
kx2f,_47_nro_cred_cons_bajo_monto,(47) NRO_CRED_CONS_BAJO_MONTO_MUJERES
kx2f,_48_monto_cred_cons_bajo,(48) MONTO_CRED_CONS_BAJO_MONTO_MUJERES
kx2f,_49_nro_cred_cons_bajo_monto,(49) NRO_CRED_CONS_BAJO_MONTO_HOMBRES
kx2f,_50_monto_cred_cons_bajo,(50) MONTO_CRED_CONS_BAJO_MONTO_HOMBRES
kx2f,_51_nro_cred_cons_bajo_monto,(51) NRO_CRED_CONS_BAJO_MONTO
kx2f,_52_monto_cred_cons_bajo,(52) MONTO_CRED_CONS_BAJO_MONTO
kx2f,_53_nro_cr_dito_vivienda,(53) NRO_CRÉDITO_VIVIENDA_MUJERES
kx2f,_54_monto_cr_dito_vivienda,(54) MONTO_CRÉDITO_VIVIENDA_MUJERES
kx2f,_55_nro_cr_dito_vivienda,(55) NRO_CRÉDITO_VIVIENDA_HOMBRES
kx2f,_56_monto_cr_dito_vivienda,(56) MONTO_CRÉDITO_VIVIENDA_HOMBRES
kx2f,_57_nro_cr_dito_vivienda,(57) NRO_CRÉDITO_VIVIENDA
kx2f,_58_monto_cr_dito_vivienda,(58) MONTO_CRÉDITO_VIVIENDA
kx2f,_59_nro_microcr_dito_hasta,(59) NRO_MICROCRÉDITO_HASTA_ 1SMMLV
kx2f,_60_monto_microcr_dito_hasta,(60) MONTO_MICROCRÉDITO_HASTA_1SMMLV
kx2f,_61_nro_microcr_dito_1smmlv,(61) NRO_MICROCRÉDITO_>1SMMLV_HASTA_ 2SMMLV
kx2f,_62_monto_microcr_dito_1smmlv,(62) MONTO_MICROCRÉDITO_>1SMMLV HASTA_ 2SMMLV
kx2f,_63_nro_microcr_dito_2smmlv,(63) NRO_MICROCRÉDITO_>2SMMLV_HASTA_3SMMLV
kx2f,_64_monto_microcr_dito_2smmlv,(64) MONTO_MICROCRÉDITO_> 2SMMLV_HASTA_3SMMLV
kx2f,_65_nro_microcr_dito_3smmlv,(65) NRO_MICROCRÉDITO_>3SMMLV_HASTA_ 4SMMLV
kx2f,_66_monto_microcr_dito_3smmlv,(66) MONTO_MICROCRÉDITO_>3SMMLV_HASTA_4SMMLV
kx2f,_67_nro_microcr_dito_4smmlv,(67) NRO_MICROCRÉDITO_>4SMMLV_HASTA_10SMMLV
kx2f,_68_monto_microcr_dito_4smmlv,(68) MONTO_MICROCRÉDITO_> 4SMMLV_HASTA_10SMMLV
kx2f,_69_nro_microcr_dito_10smmlv,(69) NRO_MICROCRÉDITO_>10SMMLV_HASTA_25SMMLV
kx2f,_70_monto_microcr_dito_10smmlv,(70) MONTO_MICROCRÉDITO_>10SMMLV_HASTA_ 25SMMLV
kx2f,_71_nro_microcr_dito_mujeres,(71) NRO_MICROCRÉDITO_MUJERES
kx2f,_72_monto_microcr_dito_mujeres,(72) MONTO_MICROCRÉDITO_MUJERES
kx2f,_73_nro_microcr_dito_hombres,(73) NRO_MICROCRÉDITO_HOMBRES
kx2f,_74_monto_microcr_dito_hombres,(74) MONTO_MICROCRÉDITO_HOMBRES
kx2f,_75_nro_microcr_dito,(75) NRO_MICROCRÉDITO
kx2f,_76_monto_microcr_dito,(76) MONTO_MICROCRÉDITO
kx2f,_77_nro_productos_a_nivel,(77) NRO_PRODUCTOS_A_NIVEL_NACIONAL
kx2f,_78_monto_saldo_productos,(78) MONTO_SALDO_PRODUCTOS_A_NIVEL_NACIONAL
kx2f,_79_nro_corresponsales_f,(79) NRO_CORRESPONSALES_FÍSICOS_PROPIOS_ACTIVOS
kx2f,_80_nro_corresponsales_f,(80) NRO_CORRESPONSALES_FÍSICOS_TERCERIZADOS_ACTIVOS
kx2f,_81_nro_corresponsales_propios,(81) NRO_CORRESPONSALES_PROPIOS_MÓVILES
kx2f,_82_nro_corresponsales,(82) NRO_CORRESPONSALES_TERCERIZADOS_MÓVILES
kx2f,_83_nro_corresponsales_m,(83) NRO_CORRESPONSALES_MÓVILES_ACTIVOS
kx2f,_84_nro_corresponsales_m,(84) NRO_CORRESPONSALES_MÓVILES
kx2f,_85_nro_dep_sitos,(85) NRO_DEPÓSITOS_CORRESPONSALES_MÓVILES
kx2f,_86_monto_dep_sitos,(86) MONTO_DEPÓSITOS_CORRESPONSALES_MÓVILES
kx2f,_87_nro_giros_enviados,(87) NRO_GIROS_ENVIADOS_CORRESPONSALES_MÓVILES
kx2f,_88_monto_giros_enviados,(88) MONTO_GIROS_ENVIADOS_CORRESPONSALES_MÓVILES
kx2f,_89_nro_giros_recibidos,(89) NRO_GIROS_RECIBIDOS_CORRESPONSALES_MÓVILES
kx2f,_90_monto_giros_recibidos,(90) MONTO_GIROS_RECIBIDOS_CORRESPONSALES_MÓVILES
kx2f,_91_nro_pagos_corresponsales,(91) NRO_PAGOS_CORRESPONSALES_MÓVILES
kx2f,_92_monto_pagos_corresponsales,(92) MONTO_PAGOS_CORRESPONSALES_MÓVILES
kx2f,_93_nro_retiros_corresponsales,(93) NRO_RETIROS_CORRESPONSALES_MÓVILES
kx2f,_94_monto_retiros,(94) MONTO_RETIROS_CORRESPONSALES_MÓVILES
kx2f,_95_nro_transferencias,(95) NRO_TRANSFERENCIAS_CORRESPONSALES_MÓVILES
kx2f,_96_monto_transferencias,(96) MONTO_TRANSFERENCIAS_CORRESPONSALES_MÓVILES
kx2f,_97_nro_transacciones_tr,(97) NRO_TRANSACCIONES_TRÁMITES_CORRESPONSALES_MÓVILES
kx2f,_98_monto_transacciones,(98) MONTO_TRANSACCIONES_CORRESPONSALES_MÓVILES
