fuente,dpto_ccdgo,tipo_id,columna,v,ptgf_column,kx2f_column,numero,v_kx2f,tipo_kx2f,rel
ptgf,50,microcredito,generomontommicro,35801740903.37,generomontommicro,_72_monto_microcr_dito_mujeres,72,35796940903.37,microcredito,0.00013407169257370326
ptgf,54,microcredito,generomontommicro,26931857054.0,generomontommicro,_72_monto_microcr_dito_mujeres,72,26931857054.0,microcredito,0.0
ptgf,73,microcredito,generomontommicro,41249215130.159996,generomontommicro,_72_monto_microcr_dito_mujeres,72,41249215130.16,microcredito,1.8495853817280637e-16
ptgf,81,microcredito,generomontommicro,6776541710.0,generomontommicro,_72_monto_microcr_dito_mujeres,72,6776541710.0,microcredito,0.0
ptgf,85,microcredito,generomontommicro,12563257960.2,generomontommicro,_72_monto_microcr_dito_mujeres,72,12563257960.2,microcredito,0.0
ptgf,86,microcredito,generomontommicro,12457905130.0,generomontommicro,_72_monto_microcr_dito_mujeres,72,12457905130.0,microcredito,0.0
ptgf,97,microcredito,generomontommicro,392380785.0,generomontommicro,_72_monto_microcr_dito_mujeres,72,392380785.0,microcredito,0.0
ptgf,08,microcredito,generonrohmicro,5847.0,generonrohmicro,_73_nro_microcr_dito_hombres,73,5104.0,microcredito,0.12707371301522147
ptgf,11,microcredito,generonrohmicro,15147.0,generonrohmicro,_73_nro_microcr_dito_hombres,73,13870.0,microcredito,0.0843071235228098
ptgf,13,microcredito,generonrohmicro,3785.0,generonrohmicro,_73_nro_microcr_dito_hombres,73,3785.0,microcredito,0.0
ptgf,15,microcredito,generonrohmicro,5385.0,generonrohmicro,_73_nro_microcr_dito_hombres,73,5385.0,microcredito,0.0
ptgf,17,microcredito,generonrohmicro,2852.0,generonrohmicro,_73_nro_microcr_dito_hombres,73,2852.0,microcredito,0.0
ptgf,18,microcredito,generonrohmicro,1805.0,generonrohmicro,_73_nro_microcr_dito_hombres,73,1805.0,microcredito,0.0
ptgf,19,microcredito,generonrohmicro,7042.0,generonrohmicro,_73_nro_microcr_dito_hombres,73,7042.0,microcredito,0.0
ptgf,52,microcredito,generonrohmicro,10281.0,generonrohmicro,_73_nro_microcr_dito_hombres,73,9196.0,microcredito,0.10553448108160685
ptgf,88,microcredito,generonrohmicro,48.0,generonrohmicro,_73_nro_microcr_dito_hombres,73,48.0,microcredito,0.0
ptgf,91,microcredito,generonrohmicro,58.0,generonrohmicro,_73_nro_microcr_dito_hombres,73,58.0,microcredito,0.0
ptgf,99,microcredito,generonrohmicro,46.0,generonrohmicro,_73_nro_microcr_dito_hombres,73,46.0,microcredito,0.0
ptgf,18,transacciones_corresponsales_fisicos,montogiroenv,194006770.0,montogiroenv,_8_monto_giros_enviados,8,196051770.0,transacciones_corresponsales_fisicos,0.010540869269665177
ptgf,54,transacciones_corresponsales_fisicos,montogiroenv,364257582.0,montogiroenv,_8_monto_giros_enviados,8,364257582.0,transacciones_corresponsales_fisicos,0.0
ptgf,70,transacciones_corresponsales_fisicos,montogiroenv,134528005.0,montogiroenv,_8_monto_giros_enviados,8,134528005.0,transacciones_corresponsales_fisicos,0.0
ptgf,81,transacciones_corresponsales_fisicos,montogiroenv,99451829.0,montogiroenv,_8_monto_giros_enviados,8,99951829.0,transacciones_corresponsales_fisicos,0.005027559623865741
ptgf,18,transacciones_corresponsales_fisicos,montopago,182410222941.28003,montopago,_12_monto_pagos_corresponsales,12,183495522629.28,transacciones_corresponsales_fisicos,0.005949774472614619
ptgf,54,transacciones_corresponsales_fisicos,montopago,718426531904.34,montopago,_12_monto_pagos_corresponsales,12,723529502918.49,transacciones_corresponsales_fisicos,0.007102982403257757
ptgf,70,transacciones_corresponsales_fisicos,montopago,222423432634.24,montopago,_12_monto_pagos_corresponsales,12,224012079081.24,transacciones_corresponsales_fisicos,0.007142441909942194
ptgf,81,transacciones_corresponsales_fisicos,montopago,75938210970.15999,montopago,_12_monto_pagos_corresponsales,12,76678335221.16,transacciones_corresponsales_fisicos,0.00974640094287773
ptgf,11,transacciones_corresponsales_fisicos,nroretiros,5076213.0,nroretiros,_13_nro_retiros_corresponsales,13,5075897.0,transacciones_corresponsales_fisicos,6.225113091196134e-05
ptgf,15,transacciones_corresponsales_fisicos,nroretiros,1414962.0,nroretiros,_13_nro_retiros_corresponsales,13,1415007.0,transacciones_corresponsales_fisicos,3.1802974214148505e-05
